participant,task,step,x0,x1,x2,x3,choice,target,time
0,0,0,0.31,-1.01,1.45,0.50,0,1,312006.00
0,0,1,1.26,0.16,0.72,-1.41,1,1,327314.00
0,0,2,-0.89,1.86,-1.14,-2.84,0,1,335623.00
0,0,3,-1.72,0.49,-0.10,-0.09,0,1,343901.00
0,0,4,3.90,2.23,4.04,-2.28,1,1,351820.00
0,0,5,0.20,-0.18,-0.31,-0.72,0,0,361290.00
0,0,6,1.37,-0.71,0.87,0.61,0,0,374074.00
0,0,7,1.72,1.37,2.18,-2.57,1,1,381016.00
0,0,8,-1.56,-2.00,-0.71,1.84,0,0,386924.00
0,0,9,-0.68,-0.30,-0.31,0.31,0,0,396055.00
0,1,0,1.08,2.72,0.30,3.09,0,1,413958.00
0,1,1,-0.23,-0.62,-2.00,0.23,0,0,428974.00
0,1,2,-0.84,1.34,1.44,1.11,1,1,435149.00
0,1,3,-1.07,-0.81,0.10,0.66,0,1,448735.00
0,1,4,0.94,-0.66,-0.05,0.97,0,1,457234.00
0,1,5,0.02,2.46,0.60,0.46,0,1,468142.00
0,1,6,2.34,4.03,0.07,0.75,1,1,476618.00
0,1,7,-0.65,-3.15,-2.24,-1.20,0,0,482522.00
0,1,8,0.51,0.33,1.06,0.23,1,1,494391.00
0,1,9,2.74,1.78,-1.61,1.81,1,1,499362.00
0,2,0,-1.45,0.63,-0.59,-1.04,0,1,513839.00
0,2,1,-1.82,-0.74,-3.11,-1.27,0,1,523560.00
0,2,2,0.68,1.13,1.99,-2.03,0,0,528844.00
0,2,3,1.20,1.05,-0.24,0.55,0,1,547580.00
0,2,4,-2.26,-0.43,-0.17,-2.06,0,0,558132.00
0,2,5,1.88,0.84,1.45,0.11,1,0,564451.00
0,2,6,-1.28,-3.77,0.35,-1.81,1,0,574205.00
0,2,7,0.42,-0.26,0.08,1.17,0,1,581926.00
0,2,8,-0.84,1.25,0.35,1.28,0,1,590664.00
0,2,9,-0.67,1.51,-2.11,1.83,1,1,597331.00
0,3,0,1.80,1.90,1.23,-3.44,0,1,619734.00
0,3,1,-0.07,-0.04,-0.59,0.32,0,0,629974.00
0,3,2,-1.32,0.72,-1.37,0.00,1,0,635970.00
0,3,3,1.38,-2.39,-1.46,0.84,0,1,643480.00
0,3,4,0.43,-0.73,0.05,2.24,1,0,650674.00
0,3,5,0.91,1.65,0.97,-1.54,1,0,662734.00
0,3,6,0.50,2.26,2.53,-3.06,0,1,672068.00
0,3,7,-1.46,0.83,1.04,-0.86,0,1,680531.00
0,3,8,-0.20,-1.40,-1.49,1.43,0,0,685665.00
0,3,9,0.38,-0.44,0.67,-0.38,0,1,690008.00
0,4,0,0.09,0.08,1.68,0.25,0,1,712797.00
0,4,1,1.71,2.90,-0.98,0.32,0,1,717840.00
0,4,2,0.41,0.73,-0.57,1.22,0,1,725966.00
0,4,3,2.20,0.53,-3.37,-1.95,1,1,733251.00
0,4,4,-2.01,-2.11,0.76,1.10,1,0,742007.00
0,4,5,-0.02,0.24,0.55,1.01,0,0,749203.00
0,4,6,-1.67,-0.95,1.39,0.52,0,0,754117.00
0,4,7,-0.51,-1.57,-1.95,-2.64,1,0,762816.00
0,4,8,-0.36,-1.28,-2.24,-1.06,1,0,791741.00
0,4,9,0.18,-0.89,1.64,-1.58,0,1,800146.00
0,5,0,-0.06,0.30,0.70,0.95,0,0,807546.00
0,5,1,-1.49,1.97,-0.02,0.64,0,1,811630.00
0,5,2,0.42,-0.41,-0.40,1.79,0,0,819244.00
0,5,3,-0.37,0.12,0.98,2.24,0,0,823678.00
0,5,4,0.23,-0.28,-0.83,0.28,1,0,828317.00
0,5,5,-1.72,-0.13,2.55,-0.57,1,1,836817.00
0,5,6,-1.42,3.83,0.31,-0.37,1,1,844072.00
0,5,7,-0.17,-0.36,1.19,1.70,0,0,848362.00
0,5,8,-2.08,0.42,0.40,-2.04,1,1,853065.00
0,5,9,1.08,-1.12,0.57,-1.49,1,0,859637.00
0,6,0,0.55,1.57,0.84,0.89,0,0,872487.00
0,6,1,0.87,1.47,-1.31,-0.39,0,1,876636.00
0,6,2,1.64,1.04,2.46,0.18,0,0,884286.00
0,6,3,-1.35,-1.25,-1.29,-0.98,1,1,891217.00
0,6,4,2.13,2.46,0.01,-1.34,0,1,896957.00
0,6,5,-0.71,-1.16,-0.80,-0.52,1,1,903412.00
0,6,6,2.65,0.93,-0.54,-2.89,1,1,911749.00
0,6,7,0.17,0.16,1.47,-0.23,0,1,917922.00
0,6,8,2.65,2.64,0.56,-0.60,1,0,930047.00
0,6,9,-0.38,0.52,-1.35,-0.52,0,1,941522.00
0,7,0,-0.27,-2.88,-0.27,-4.01,1,1,951629.00
0,7,1,1.45,-0.07,-1.48,-0.86,0,1,956129.00
0,7,2,3.27,0.83,-2.44,-2.42,0,1,962604.00
0,7,3,2.68,3.15,-1.57,-0.23,1,0,978468.00
0,7,4,-0.25,-2.37,0.81,-0.16,0,1,987076.00
0,7,5,0.13,-0.21,-0.28,0.50,0,1,993298.00
0,7,6,-0.08,1.25,-0.37,2.62,0,0,999202.00
0,7,7,2.71,0.18,1.39,-1.70,1,1,1004626.00
0,7,8,-0.62,1.04,-0.50,-0.21,1,0,1009552.00
0,7,9,0.01,0.37,-1.36,-1.55,1,0,1018231.00
0,8,0,0.69,0.65,0.99,1.04,1,1,1035014.00
